"HubSpot Field Name","Salesforce Field Name","Sync Rule"
other_email__c,other_email__c,"Prefer Salesforce unless blank"
"outreach_actively_being_sequenced__c","outreach_actively_being_sequenced__c","Two way"
"outreach_current_sequence_id__c","outreach_current_sequence_id__c","Prefer Salesforce unless blank"
"outreach_current_sequence_name__c","outreach_current_sequence_name__c","Prefer Salesforce unless blank"
"outreach_current_sequence_status__c","outreach_current_sequence_status__c","Prefer Salesforce unless blank"
"outreach_current_sequence_step_number__c","outreach_current_sequence_step_number__c","Prefer Salesforce unless blank"
"outreach_current_sequence_step_type__c","outreach_current_sequence_step_type__c","Prefer Salesforce unless blank"
"outreach_current_sequence_task_due_date__c","outreach_current_sequence_task_due_date__c","Prefer Salesforce unless blank"
"outreach_date_added_to_sequence__c","outreach_date_added_to_sequence__c","Prefer Salesforce unless blank"
"outreach_finished_sequences__c","outreach_finished_sequences__c","Prefer Salesforce unless blank"
"outreach_initial_sequence_id__c","outreach_initial_sequence_id__c","Prefer Salesforce unless blank"
"outreach_initial_sequence_name__c","outreach_initial_sequence_name__c","Prefer Salesforce unless blank"
outreach_lead_id__c,outreach_lead_id__c,"Prefer Salesforce unless blank"
"outreach_number_of_active_sequences__c","outreach_number_of_active_sequences__c","Prefer Salesforce unless blank"
"outreach_number_of_active_tasks__c","outreach_number_of_active_tasks__c","Prefer Salesforce unless blank"
outreach_stage_text,outreach_stage_text__c,"Always use Salesforce"
outreach_stage__c,outreach_stage__c,"Two way"
partnerstack_lead_key__c,partnerstack_lead_key__c,"Prefer Salesforce unless blank"
"partnerstack_partner_key__c","partnerstack_partner_key__c","Prefer Salesforce unless blank"
"partner_application_type__c","partner_application_type__c","Two way"
partner_gid,partner_gid__c,"Two way"
partner_status,partner_status_text__c,"Always use Salesforce"
pass_to_sdr,pass_to_sdr__c,"Two way"
pe_backed_,pe_backed__c,"Always use Salesforce"
phone,phone,"Two way"
"pre_qualification_outcome","pre_qualification_outcome_signup__c","Two way"
"pre_qualification_outcome","pre_qualification_outcome__c","Two way"
primary_card,current_card_provider__c,"Two way"
primary_lead_channel,"primary_inbound_channel__c","Two way"
primary_lead_channel,primary_lead_channel__c,"Two way"
rating,rating,"Prefer Salesforce unless blank"
"recent_conversion_event_name","recent_conversion_page__c","Two way"
referrer_lookup__c,referrer__c,"Prefer Salesforce unless blank"
referrer___a,referrer_account__c,"Two way"
referrer___a,referrer_lookup__c,"Two way"
revenueforecastrange,"estimated_annual_revenues_signup__c","Two way"
routing_channel,routing_channel__c,"Two way"
salesforceaccountid,accountid,"Prefer Salesforce unless blank"
salesforcelastsynctime,"last_hubspot_sync_date__c","Two way"
sales_rep_email,navan_sales_rep_email__c,"Two way"
sales_rep_name,navan_sales_rep__c,"Two way"
sales_rep_phone_number,"navan_sales_rep_phone_number__c","Two way"
salutation,salutation,"Prefer Salesforce unless blank"
scratchpad_hubspot,scratchpad_hubspot__c,"Two way"
sdr_assignment_time,owner_change_date__c,"Always use Salesforce"
sdr_meeting_held,sdr_meeting_held__c,"Two way"
seamless_revenue__c,seamless_revenue__c,"Two way"
self_serve_type,self_serve_type__c,"Two way"
sent_to_compliance_date,"sent_to_compliance_date__c","Two way"
sfdc_last_activity_date,last_activity__c,"Always use Salesforce"
signup_conversion_page,"signup_conversion_page__c","Two way"
signup_lead_score,signup_lead_score__c,"Two way"
signup_status,signup_status__c,"Two way"
"sign_up_flow_employees__c","sign_up_flow_employees__c","Two way"
"sign_up_flow_estimated_annual_revenue__c","sign_up_flow_estimated_annual_revenue__c","Two way"
source_of_funds,"source_of_funds_signup__c","Two way"
spara_transcript,spara_transcript__c,"Two way"
state,mailingstate,"Prefer Salesforce unless blank"
state,state,"Prefer Salesforce unless blank"
sync_to_hubspot,sync_to_hubspot__c,"Two way"
"timestamp_attempting_to_reach","timestamp_attempting_to_reach__c","Always use Salesforce"
timestamp_contact_made,"timestamp_contact_made__c","Two way"
timestamp_converted__c,timestamp_converted__c,"Always use Salesforce"
"timestamp_disqualified__c","timestamp_disqualified__c","Two way"
timestamp_meeting_set,timestamp_meeting_set__c,"Two way"
timestamp_mql__c,timestamp_mql__c,"Prefer Salesforce unless blank"
timestamp_nurturing__c,timestamp_nurturing__c,"Two way"
unqualified_,unqualified__c,"Don't sync"
utm_campaign,utm_campaign__c,"Two way"
utm_content,utm_content__c,"Two way"
utm_medium,utm_medium__c,"Two way"
utm_source,utm_source__c,"Two way"
utm_term,utm_term__c,"Two way"
uuid,uuid__c,"Two way"
vc_backed_,vc_backed__c,"Always use Salesforce"
website,website,"Two way"
"what_stage_is_your_company_in_",company_stage__c,"Two way"
"what_s_the_toughest_problem_you_have_solved_","what_s_the_toughest_problem_you_have_sol__c","Two way"
"when_was_your_company_founded_",year_founded__c,"Two way"
"which_product_are_you_interested_in_","which_product_are_you_interested_in__c","Two way"
zip,mailingpostalcode,"Two way"
zip,postalcode,"Two way"
