"HubSpot Field Name","Salesforce Field Name","Sync Rule"
sector__c,sector__c,"Prefer Salesforce unless blank"
site,site,"Prefer Salesforce unless blank"
source_of_funds__c,source_of_funds__c,"Prefer Salesforce unless blank"
status__c,status__c,"Prefer Salesforce unless blank"
third_party_payment__c,third_party_payment__c,"Prefer Salesforce unless blank"
tier__c,account_tier__c,"Always use Salesforce"
"total_spend___2_months_ago","total_spend_2_months_ago__c","Always use Salesforce"
"total_spend___3_months_ago","total_spend_3_months_ago__c","Always use Salesforce"
total_spend___last_month,"total_spend_last_month__c","Always use Salesforce"
total_spend___mtd,"total_spend_month_to_date__c","Always use Salesforce"
treasury_account__c,treasury_account__c,"Two way"
treasury_balance__c,treasury_balance__c,"Prefer Salesforce unless blank"
treasury_created_date__c,treasury_created_date__c,"Prefer Salesforce unless blank"
treasury_status__c,treasury_status__c,"Prefer Salesforce unless blank"
type,type,"Two way"
utm_ad__c,utm_ad__c,"Prefer Salesforce unless blank"
utm_campaign__c,utm_campaign__c,"Prefer Salesforce unless blank"
utm_content__c,utm_content__c,"Prefer Salesforce unless blank"
utm_medium__c,utm_medium__c,"Prefer Salesforce unless blank"
utm_source__c,utm_source__c,"Prefer Salesforce unless blank"
utm_term__c,utm_term__c,"Prefer Salesforce unless blank"
uw_condition_deadline__c,uw_condition_deadline__c,"Prefer Salesforce unless blank"
uw_condition__c,uw_condition__c,"Prefer Salesforce unless blank"
"variable_spend_reason_detail__c","variable_spend_reason_detail__c","Prefer Salesforce unless blank"
variable_spend_reason__c,variable_spend_reason__c,"Prefer Salesforce unless blank"
variable_spend__c,variable_spend__c,"Two way"
vc_backed__c,vc_backed__c,"Two way"
website,website,"Prefer Salesforce unless blank"
